f0:23:b9:ed:99:ae;172.31.3.150;05.08.23 / 12:50:15;fingbox;ens18
da:ca:31:56:05:75;172.31.10.35;05.08.23 / 12:50:15;;ens18
30:d3:2d:0a:92:16;172.31.4.30;05.08.23 / 12:50:12;powerline_liara;ens18
30:d3:2d:cd:35:6a;172.31.4.40;05.08.23 / 12:50:15;powerline_garten;ens18
30:d3:2d:0a:96:ae;172.31.4.60;05.08.23 / 12:50:14;powerline_office;ens18
30:d3:2d:71:2f:a3;172.31.4.50;05.08.23 / 12:50:13;powerline_wohnzimmer;ens18
00:1a:22:05:b6:11;172.31.5.40;05.08.23 / 12:50:14;hmccu2;ens18
50:32:37:ad:1d:24;172.31.6.40;05.08.23 / 12:45:40;appletv_schlafzimmer;ens18
be:dd:ca:45:f7:07;172.31.10.10;05.08.23 / 12:49:34;pi;ens18
12:2a:ef:3e:ec:2e;172.31.10.100;05.08.23 / 12:49:40;;ens18
00:0d:b9:5a:f0:2d;172.31.3.10;05.08.23 / 12:49:40;fw01;ens18
00:0d:b9:5d:d0:41;172.31.3.15;05.08.23 / 12:48:24;fw02;ens18
c8:89:f3:04:9e:1a;172.31.100.80;05.08.23 / 12:20:40;ronny_ipad;ens18
4e:b0:37:74:8d:b7;172.31.1.1;05.08.23 / 12:48:28;;ens18
00:11:32:72:db:d9;172.31.5.230;05.08.23 / 12:50:15;synrs816-01;ens18
14:98:77:83:88:ff;172.31.110.20;05.08.23 / 12:49:09;laila_macminiwl;ens18
70:de:e2:f2:ae:41;172.31.100.90;05.08.23 / 12:35:49;ronny_ipadmon;ens18
6c:19:c0:5e:f8:c2;172.31.110.50;05.08.23 / 00:04:08;laila_ipad;ens18
b0:c5:54:28:e1:3a;172.31.5.150;05.08.23 / 12:48:03;wlcam06;ens18
b0:c5:54:22:74:57;172.31.5.100;05.08.23 / 12:47:38;wlcam01;ens18
d0:03:4b:4b:22:68;172.31.6.21;05.08.23 / 12:45:40;appletv_wohnzimmereth;ens18
ac:87:a3:36:69:cc;172.31.100.10;05.08.23 / 12:46:44;ronny_imac_eth0;ens18
58:d3:49:3f:33:fb;172.31.6.101;05.08.23 / 12:45:40;homepod_office2;ens18
ea:ef:97:fb:d2:45;172.31.200.144;05.07.23 / 22:54:06;;ens18
50:de:06:9f:b0:64;172.31.6.30;05.08.23 / 12:48:22;appletv_office;ens18
b0:c5:54:28:de:ef;172.31.5.110;05.08.23 / 12:50:09;wlcam02;ens18
58:d3:49:3d:c2:0a;172.31.6.100;05.08.23 / 12:45:42;homepod_office1;ens18
22:33:b1:ea:ce:2c;172.31.10.40;05.08.23 / 12:09:51;srv_syncthing;ens18
78:28:ca:93:30:8c;172.31.6.120;05.08.23 / 11:57:37;loudspeaker_sonos01;ens18
b0:c5:54:17:00:73;172.31.5.140;22.07.23 / 12:45:43;wlcam05;ens18
f8:ff:c2:30:ec:50;172.31.110.40;05.08.23 / 12:37:31;laila_macbook;ens18
60:f8:1d:c6:8b:fc;172.31.100.20;05.08.23 / 12:06:41;ronny_macminiwl;ens18
dc:68:eb:ba:3b:5b;172.31.140.200;05.08.23 / 12:10:15;neo_switch;ens18
b0:c5:54:49:1b:2f;172.31.5.130;05.08.23 / 12:50:03;wlcam04;ens18
a4:c3:37:b2:18:64;172.31.100.70;05.08.23 / 12:22:45;ronny_iphone;ens18
78:28:ca:93:2c:ca;172.31.6.121;05.08.23 / 12:23:23;loudspeaker_sonos02;ens18
00:11:32:72:db:da;172.31.5.231;05.08.23 / 02:06:16;synrs816-02;ens18
e4:9c:67:80:1b:ea;172.31.110.30;05.08.23 / 12:44:47;laila_iphone;ens18
68:ec:8a:01:1e:5b;172.31.5.50;05.08.23 / 12:42:49;;ens18
98:b6:e9:03:6b:d0;172.31.130.200;05.08.23 / 12:45:39;zoey_switch;ens18
b8:17:c2:b2:06:52;172.31.6.10;05.08.23 / 12:48:22;appletv_kueche;ens18
d8:e2:df:89:8b:e4;172.31.200.120;05.08.23 / 12:37:39;;ens18
fc:66:cf:df:4a:ff;172.31.100.252;05.08.23 / 12:01:39;ronny_iphone_magenta;ens18
4c:3b:df:3c:a6:13;172.31.6.150;05.08.23 / 02:56:54;xbox_office;ens18
00:17:88:21:c0:64;172.31.5.30;05.08.23 / 11:30:10;huebridge01;ens18
f0:76:6f:65:d8:9e;172.31.140.30;05.08.23 / 12:34:19;neo_ipad;ens18
3c:a6:f6:02:04:38;172.31.100.251;05.08.23 / 12:48:23;ronny_macbook_magentawl;ens18
e0:33:8e:41:d2:7e;172.31.120.20;05.08.23 / 12:45:41;liara_iphone;ens18
fc:2a:9c:87:b8:64;172.31.130.20;05.08.23 / 12:48:23;zoey_iphone;ens18
90:81:2a:89:86:1e;172.31.200.121;05.08.23 / 12:43:04;;ens18
46:cc:b3:40:bb:9d;172.31.130.30;05.08.23 / 12:43:14;zoey_ipad;ens18
b8:27:eb:70:e8:a8;172.31.10.30;05.08.23 / 11:27:52;srv_homebridge;ens18
a4:d1:8c:ed:6c:2e;172.31.100.30;31.07.23 / 01:37:28;ronny_macbookmini;ens18
60:45:cb:a0:98:6a;172.31.100.40;05.08.23 / 12:42:21;ronny_greenBeast;ens18
82:4c:31:f2:f9:91;172.31.10.61;01.08.23 / 10:43:14;;ens18
e0:33:8e:4e:fe:87;172.31.140.20;05.08.23 / 12:08:08;;ens18
48:9e:bd:5a:40:cb;172.31.20.20;05.08.23 / 12:08:07;laila_hp5a40ca;ens18
20:91:48:df:a9:a8;172.31.140.210;05.08.23 / 01:31:19;neo_toniebox;ens18
8a:c3:33:0b:99:60;172.31.120.30;23.07.23 / 17:12:17;liara_ipad;ens18
66:03:a9:72:e9:7d;172.31.10.20;08.07.23 / 03:28:08;srv_nodered;ens18
94:c6:91:ae:d2:35;172.31.9.1;30.07.23 / 11:30:01;pve1;ens18
40:01:c6:9c:88:26;172.31.3.120;31.07.23 / 14:55:17;gpchag-sw03;ens18
b0:2a:43:21:37:26;172.31.130.210;31.07.23 / 20:14:21;zoey_chromcast;ens18
dc:85:de:b8:31:6f;172.31.130.15;05.08.23 / 10:29:21;zoey_winlapmax;ens18
00:5f:67:c1:5b:5a;172.31.200.122;27.07.23 / 05:51:07;;ens18
28:39:26:8a:d9:f5;172.31.130.10;20.07.23 / 12:39:31;zoey_winlap;ens18
1e:57:97:0f:b6:64;172.31.10.64;20.07.23 / 09:03:09;;ens18
b0:2a:43:64:da:20;172.31.120.200;05.08.23 / 12:50:03;liara_chromcast;ens18
c6:b7:a2:3e:d9:f0;172.31.10.60;30.07.23 / 11:30:02;gaming;ens18
3c:e1:a1:42:4c:21;172.31.100.250;04.08.23 / 23:12:19;ronny_macbook_magentausb;ens18
46:0d:c7:fb:81:57;172.31.10.63;05.08.23 / 11:08:32;;ens18
30:d3:2d:0a:96:aa;172.31.4.20;05.08.23 / 12:50:11;powerline_buffet;ens18
c2:3c:1e:76:91:fa;172.31.200.150;05.08.23 / 12:29:16;;ens18
